,longitude,latitude
0,-114.31,34.19
1,-114.47,34.4
2,-114.56,33.69
3,-114.57,33.64
4,-114.57,33.57
5,-114.58,33.63
6,-114.58,33.61
7,-114.59,34.83
8,-114.59,33.61
9,-114.6,34.83
10,-114.6,33.62
11,-114.6,33.6
12,-114.61,34.84
13,-114.61,34.83
14,-114.63,32.76
15,-114.65,34.89
16,-114.65,33.6
17,-114.65,32.79
18,-114.66,32.74
19,-114.67,33.92
20,-114.68,33.49
21,-114.73,33.43
22,-114.94,34.55
23,-114.98,33.82
24,-115.22,33.54
25,-115.32,32.82
26,-115.37,32.82
27,-115.37,32.82
28,-115.37,32.81
29,-115.37,32.81
30,-115.38,32.82
31,-115.38,32.81
32,-115.39,32.76
33,-115.4,32.86
34,-115.4,32.7
35,-115.41,32.99
36,-115.46,33.19
37,-115.48,32.8
38,-115.48,32.68
39,-115.49,32.87
40,-115.49,32.69
41,-115.49,32.67
42,-115.49,32.67
43,-115.5,32.75
44,-115.5,32.68
45,-115.5,32.67
46,-115.51,33.24
47,-115.51,33.12
48,-115.51,32.99
49,-115.51,32.68
50,-115.52,34.22
51,-115.52,33.13
52,-115.52,33.12
53,-115.52,32.98
54,-115.52,32.97
55,-115.52,32.97
56,-115.52,32.77
57,-115.52,32.73
58,-115.52,32.67
59,-115.53,34.91
60,-115.53,32.99
61,-115.53,32.97
62,-115.53,32.97
63,-115.53,32.73
64,-115.54,32.99
65,-115.54,32.99
66,-115.54,32.98
67,-115.54,32.97
68,-115.54,32.79
69,-115.55,32.98
70,-115.55,32.98
71,-115.55,32.82
72,-115.55,32.8
73,-115.55,32.79
74,-115.55,32.79
75,-115.55,32.78
76,-115.56,32.96
77,-115.56,32.8
78,-115.56,32.8
79,-115.56,32.8
80,-115.56,32.79
81,-115.56,32.79
82,-115.56,32.78
83,-115.56,32.78
84,-115.56,32.78
85,-115.56,32.76
86,-115.57,32.85
87,-115.57,32.85
88,-115.57,32.84
89,-115.57,32.83
90,-115.57,32.8
91,-115.57,32.79
92,-115.57,32.78
93,-115.57,32.78
94,-115.58,33.88
95,-115.58,32.81
96,-115.58,32.81
97,-115.58,32.79
98,-115.58,32.78
99,-115.59,32.85
100,-115.59,32.79
101,-115.59,32.69
102,-115.6,33.2
103,-115.6,32.87
104,-115.62,33.04
105,-115.62,33.04
106,-115.64,32.8
107,-115.69,32.79
108,-115.72,32.75
109,-115.73,33.36
110,-115.73,33.35
111,-115.73,33.09
112,-115.73,32.8
113,-115.8,33.26
114,-115.84,33.49
115,-115.85,34.2
116,-115.88,32.93
117,-115.9,33.34
118,-115.91,33.36
119,-115.93,35.55
120,-115.94,33.38
121,-115.95,33.28
122,-115.96,33.3
123,-115.98,33.32
124,-115.99,33.4
125,-116.0,33.19
126,-116.0,32.74
127,-116.01,33.51
128,-116.01,33.41
129,-116.02,34.18
130,-116.05,34.12
131,-116.05,33.33
132,-116.06,34.2
133,-116.06,34.15
134,-116.08,33.86
135,-116.09,34.15
136,-116.11,33.64
137,-116.12,33.53
138,-116.14,34.22
139,-116.15,34.14
140,-116.15,33.69
141,-116.15,33.64
142,-116.16,33.68
143,-116.17,33.67
144,-116.17,33.66
145,-116.17,33.53
146,-116.18,33.69
147,-116.18,33.67
148,-116.19,33.67
149,-116.2,33.7
150,-116.2,33.63
151,-116.2,32.64
152,-116.21,33.75
153,-116.21,33.72
154,-116.21,33.71
155,-116.21,33.68
156,-116.21,33.66
157,-116.22,36.0
158,-116.22,34.21
159,-116.22,33.74
160,-116.22,33.73
161,-116.22,33.72
162,-116.22,33.7
163,-116.23,33.73
164,-116.23,33.72
165,-116.23,33.71
166,-116.24,33.73
167,-116.24,33.72
168,-116.24,33.71
169,-116.25,33.81
170,-116.25,33.75
171,-116.25,33.69
172,-116.26,33.65
173,-116.26,33.07
174,-116.27,34.13
175,-116.29,33.74
176,-116.29,33.72
177,-116.3,33.68
178,-116.31,34.13
179,-116.31,33.67
180,-116.31,33.67
181,-116.31,33.66
182,-116.32,34.14
183,-116.32,34.1
184,-116.32,33.28
185,-116.33,34.15
186,-116.33,33.75
187,-116.33,33.72
188,-116.34,33.36
189,-116.35,34.13
190,-116.35,32.74
191,-116.36,33.88
192,-116.37,33.72
193,-116.37,33.69
194,-116.37,33.19
195,-116.38,34.2
196,-116.38,34.1
197,-116.38,33.74
198,-116.38,33.73
199,-116.38,33.71
200,-116.39,34.15
201,-116.39,33.82
